trans_id,account_id,date,type,operation_type,amount,balance,description,partner_bank,partner_account,district_id,frequency,account_open_date,client_id,district_name,region,population,average_salary,unemployment_rate,num_committed_crimes,account_open_year
695247,2378,1993-01-01,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,16,MONTHLY STATEMENTS,1993-01-01,2873,Jindrichuv Hradec,South Bohemia,93931.0,8427.0,1.54,1913.0,1993
171812,576,1993-01-01,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,55,MONTHLY STATEMENTS,1993-01-01,692,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
207264,704,1993-01-01,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,55,MONTHLY STATEMENTS,1993-01-01,844,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
1117247,3818,1993-01-01,CREDIT,CREDIT IN CASH,600.0,600.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-01,4601,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
579373,1972,1993-01-02,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,77,MONTHLY STATEMENTS,1993-01-02,2397,UNKNOWN,UNKNOWN,270325.6923766816,9482.017842576011,3.5716535042724127,16486.170933462032,1993
771035,2632,1993-01-02,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,24,MONTHLY STATEMENTS,1993-01-02,3177,Karlovy Vary,West Bohemia,122603.0,8991.0,2.01,5273.0,1993
452728,1539,1993-01-03,CREDIT,CREDIT IN CASH,600.0,600.0,UNKNOWN,UNKNOWN,-999.0,1,STATEMENTS AFTER TRANSACTION,1993-01-03,1866,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
725751,2484,1993-01-03,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-03,2999,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
497211,1695,1993-01-03,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,76,MONTHLY STATEMENTS,1993-01-03,2058,Sumperk,North Moravia,127369.0,8369.0,3.8185405756505775,2807.0,1993
232960,793,1993-01-03,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,47,MONTHLY STATEMENTS,1993-01-03,950,Pardubice,East Bohemia,162580.0,9538.0,4.315641630192431,5410.0,1993
505240,1726,1993-01-03,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,48,MONTHLY STATEMENTS,1993-01-03,2093,Rychnov Nad Kneznou,East Bohemia,78955.0,9060.0,2.44,1717.0,1993
144541,485,1993-01-04,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,6,STATEMENTS AFTER TRANSACTION,1993-01-04,583,Kutna Hora,Central Bohemia,77963.0,8546.0,4.02,3120.0,1993
637741,2177,1993-01-04,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,62,MONTHLY STATEMENTS,1993-01-04,2636,Uherske Hradiste,South Moravia,145688.0,8544.0,1.86,2906.0,1993
689827,2357,1993-01-04,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,19,MONTHLY STATEMENTS,1993-01-04,2849,Prachatice,South Bohemia,51428.0,8402.0,3.98,1099.0,1993
846006,2881,1993-01-04,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,70,MONTHLY STATEMENTS,1993-01-04,3483,Karvina,North Moravia,285387.0,10177.0,7.75,10108.0,1993
637742,2177,1993-01-05,CREDIT,COLLECTION FROM ANOTHER BANK,5123.0,5923.0,PENSION,YZ,62457513.0,62,MONTHLY STATEMENTS,1993-01-04,2636,Uherske Hradiste,South Moravia,145688.0,8544.0,1.86,2906.0,1993
2908688,9635,1993-01-05,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,70,MONTHLY STATEMENTS,1993-01-05,11860,Karvina,North Moravia,285387.0,10177.0,7.75,10108.0,1993
232961,793,1993-01-05,CREDIT,COLLECTION FROM ANOTHER BANK,3401.0,4201.0,UNKNOWN,IJ,6149286.0,47,MONTHLY STATEMENTS,1993-01-03,950,Pardubice,East Bohemia,162580.0,9538.0,4.315641630192431,5410.0,1993
192096,652,1993-01-05,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,21,MONTHLY STATEMENTS,1993-01-05,782,Tabor,South Bohemia,103347.0,9104.0,2.07,2354.0,1993
542215,1844,1993-01-06,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,44,MONTHLY STATEMENTS,1993-01-06,2236,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
565654,1926,1993-01-06,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,37,MONTHLY STATEMENTS,1993-01-06,2338,Litomerice,North Bohemia,114006.0,9065.0,5.39,4166.0,1993
542216,1844,1993-01-07,CREDIT,COLLECTION FROM ANOTHER BANK,3242.0,3742.0,UNKNOWN,ST,42988401.0,44,MONTHLY STATEMENTS,1993-01-06,2236,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
1027725,3510,1993-01-07,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-07,4238,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
374589,1276,1993-01-07,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,36,MONTHLY STATEMENTS,1993-01-07,1540,Liberec,North Bohemia,159617.0,9198.0,4.28,6132.0,1993
579374,1972,1993-01-07,CREDIT,COLLECTION FROM ANOTHER BANK,5298.0,5698.0,PENSION,UV,14132887.0,77,MONTHLY STATEMENTS,1993-01-02,2397,UNKNOWN,UNKNOWN,270325.6923766816,9482.017842576011,3.5716535042724127,16486.170933462032,1993
699220,2393,1993-01-07,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,10,MONTHLY STATEMENTS,1993-01-07,2889,Praha - Vychod,Central Bohemia,92084.0,10124.0,0.54,1630.6429573233727,1993
129502,435,1993-01-08,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,38,MONTHLY STATEMENTS,1993-01-08,523,Louny,North Bohemia,85852.0,8965.0,3.795808705850958,2822.0,1993
374590,1276,1993-01-08,CREDIT,CREDIT IN CASH,6774.0,7174.0,UNKNOWN,UNKNOWN,-999.0,36,MONTHLY STATEMENTS,1993-01-07,1540,Liberec,North Bohemia,159617.0,9198.0,4.28,6132.0,1993
57433,192,1993-01-08,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,55,MONTHLY STATEMENTS,1993-01-08,232,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
